"s","a","y"
"사랑해 (feat. 윤은혜)","마이티 마우스(Mighty Mouth)","2008년 베스트 가요 콜렉션"
"사랑해 미안해","지아(Zia)","2008년 베스트 가요 콜렉션"
"사랑후애","FTISLAND (FT아일랜드)","2008년 베스트 가요 콜렉션"
"산소 같은 너 (Love Like Oxygen)","SHINee (샤이니)","2008년 베스트 가요 콜렉션"
"새까맣게","엠투엠(M To M)","2008년 베스트 가요 콜렉션"
"샤방샤방","박현빈","2008년 베스트 가요 콜렉션"
"서커스 (feat. 임유경 - 달래 음악단, $howgun)","MC 몽","2008년 베스트 가요 콜렉션"
"슬픈 다짐","다비치","2008년 베스트 가요 콜렉션"
"슬픈 발걸음","씨야(SeeYa)","2008년 베스트 가요 콜렉션"
"슬픔활용법","김범수","2008년 베스트 가요 콜렉션"
"신데렐라","서인영","2008년 베스트 가요 콜렉션"
"아이처럼","김동률","2008년 베스트 가요 콜렉션"
"안녕 나의 사랑","성시경","2008년 베스트 가요 콜렉션"
"어제보다 오늘 더","김종국","2008년 베스트 가요 콜렉션"
"어쩌다","브라운 아이드 걸스","2008년 베스트 가요 콜렉션"
"에너지 (feat. 선예)","마이티 마우스(Mighty Mouth)","2008년 베스트 가요 콜렉션"
"여자는 사랑을 먹고","왁스(Wax) CONNECT 아티스트","2008년 베스트 가요 콜렉션"
"우산 (feat. 윤하)","에픽하이 (EPIK HIGH)","2008년 베스트 가요 콜렉션"
"이노래","2AM","2008년 베스트 가요 콜렉션"
"장윤정 트위스트","장윤정","2008년 베스트 가요 콜렉션"
"죽도록 사랑해 (feat. 박정현)","MC 몽","2008년 베스트 가요 콜렉션"
"즉흥여행 (feat. MC몽)","윤종신","2008년 베스트 가요 콜렉션"
"천국","BIGBANG","2008년 베스트 가요 콜렉션"
"첫눈","SG워너비","2008년 베스트 가요 콜렉션"
"추억속의 그대","이승기","2008년 베스트 가요 콜렉션"
"취중진담 (feat. And)","플라이 투 더 스카이(Fly To The Sky)","2008년 베스트 가요 콜렉션"
"클래식","KCM","2008년 베스트 가요 콜렉션"
"텔레파시","윤하(Younha/ユンナ)","2008년 베스트 가요 콜렉션"
"하나의 사랑 (추성훈 ver.)","추성훈","2008년 베스트 가요 콜렉션"
"하루하루","BIGBANG","2008년 베스트 가요 콜렉션"
"한가지 말","FTISLAND (FT아일랜드)","2008년 베스트 가요 콜렉션"
"화분 (알렉스 ver.) ('우리 결혼했어요' 삽입곡)","알렉스(Alex)","2008년 베스트 가요 콜렉션"
"환상의 짝꿍 (feat. 예은 Of 원더걸스)","H-유진","2008년 베스트 가요 콜렉션"
"후회는 없어 (feat. 베이지)","노블레스(Noblesse)","2008년 베스트 가요 콜렉션"
"Tell Me (Sampling From 'Two Of Hearts')","원더걸스","2007년 베스트 가요 콜렉션"
"Four Chance","SS501","2007년 베스트 가요 콜렉션"
"Adios (feat. 미스터 타이푼 (Mr.Tyfoon))","은지원","2007년 베스트 가요 콜렉션"
"Ballerino (발레리노) (Feat. Ali)","리쌍(Leessang)","2007년 베스트 가요 콜렉션"
"Cry (feat. 하동균)","비바 소울(Viva Soul)","2007년 베스트 가요 콜렉션"
"Dirty Cash","BIGBANG","2007년 베스트 가요 콜렉션"
"돈 돈! (Don't Don)","SUPER JUNIOR (슈퍼주니어)","2007년 베스트 가요 콜렉션"
"Fan","에픽하이 (EPIK HIGH)","2007년 베스트 가요 콜렉션"
"Hey Boy","서지영","2007년 베스트 가요 콜렉션"
"I Promise You","원티드(Wanted) , 이정","2007년 베스트 가요 콜렉션"
"Irony (아이러니)","원더걸스","2007년 베스트 가요 콜렉션"
"Love Love Love (feat. 융진 Of Casker)","에픽하이 (EPIK HIGH)","2007년 베스트 가요 콜렉션"
"Maria","김아중","2007년 베스트 가요 콜렉션"
"Marry U","SUPER JUNIOR (슈퍼주니어)","2007년 베스트 가요 콜렉션"
"My Angel","플라이 투 더 스카이(Fly To The Sky)","2007년 베스트 가요 콜렉션"
"My Love","채연","2007년 베스트 가요 콜렉션"
"So Fresh (feat. 김태우) (위대한 캣츠비 OST 삽입곡)","MC 몽","2007년 베스트 가요 콜렉션"
"가거라 사랑아!!","서문탁","2007년 베스트 가요 콜렉션"
"가라 사랑아","장혜진","2007년 베스트 가요 콜렉션"
"가슴아 그만해","엠씨더맥스(M.C THE MAX)","2007년 베스트 가요 콜렉션"
"가시리 (With KCM)","SG워너비","2007년 베스트 가요 콜렉션"
"가지마","브라이언(Brian)","2007년 베스트 가요 콜렉션"
"같은 베개...","테이(Tei)","2007년 베스트 가요 콜렉션"
"거위의 꿈","인순이","2007년 베스트 가요 콜렉션"
"거짓말","BIGBANG","2007년 베스트 가요 콜렉션"
"결혼할까요","씨야(SeeYa)","2007년 베스트 가요 콜렉션"
"그대 내게 다시","럼블 피쉬(Rumble Fish)","2007년 베스트 가요 콜렉션"
"그래도 사랑합니다","일 락","2007년 베스트 가요 콜렉션"
"기다릴게...","타이푼","2007년 베스트 가요 콜렉션"
"나를 외치다","마야(Maya)","2007년 베스트 가요 콜렉션"
"남자도... 어쩔 수 없다","EVAN 에반(유호석)","2007년 베스트 가요 콜렉션"
"남자야","먼데이 키즈(Monday Kiz)","2007년 베스트 가요 콜렉션"
"내 사람입니다","더 넛츠(The Nuts)","2007년 베스트 가요 콜렉션"
"[19금]				너를 원해","서인영","2007년 베스트 가요 콜렉션"
"눈물","엠씨더맥스(M.C THE MAX)","2007년 베스트 가요 콜렉션"
"느껴봐","체리필터(Cherry Filter)","2007년 베스트 가요 콜렉션"
"니가 사는 그 집","박진영","2007년 베스트 가요 콜렉션"
"다시 만난 세계 (Into The New World)","소녀시대 (GIRLS' GENERATION)","2007년 베스트 가요 콜렉션"
"단발머리","이수영","2007년 베스트 가요 콜렉션"
"둘이라서","이루(Eru)","2007년 베스트 가요 콜렉션"
"뒷모습","나윤권","2007년 베스트 가요 콜렉션"
"땡벌","강진","2007년 베스트 가요 콜렉션"
"로꾸거!!!","SUPER JUNIOR-T (슈퍼주니어 T)","2007년 베스트 가요 콜렉션"
"매일매일","V.O.S.","2007년 베스트 가요 콜렉션"
"못 잊어 (feat. 이지혜) (Sampling Mendelssohn 봄의 노래)","PK 헤만(PK Heman)","2007년 베스트 가요 콜렉션"
"못난이","메이비(MayBee)","2007년 베스트 가요 콜렉션"
"못난이","홍경민","2007년 베스트 가요 콜렉션"
"못된 남자","엠투엠(M To M)","2007년 베스트 가요 콜렉션"
"물끄러미","지아(Zia)","2007년 베스트 가요 콜렉션"
"미워도 좋아","별","2007년 베스트 가요 콜렉션"
"미워요","씨야(SeeYa)","2007년 베스트 가요 콜렉션"
"미인(美人)","이기찬","2007년 베스트 가요 콜렉션"
"바람만바람만","김종국 , SG워너비","2007년 베스트 가요 콜렉션"
"바보처럼","버블 시스터즈(Bubble Sisters)","2007년 베스트 가요 콜렉션"
"배반","빅마마(Big Mama)","2007년 베스트 가요 콜렉션"
"봄이여 오라 (feat. 유리)","MC 스나이퍼(MC Sniper)","2007년 베스트 가요 콜렉션"
"비밀번호 486","윤하(Younha/ユンナ)","2007년 베스트 가요 콜렉션"
"비행소녀","마골피","2007년 베스트 가요 콜렉션"
"사랑 하나면 돼","백지영","2007년 베스트 가요 콜렉션"
"사랑... 그게 뭔데","양파","2007년 베스트 가요 콜렉션"
"사랑가","SG워너비","2007년 베스트 가요 콜렉션"
"사랑공식","코요태","2007년 베스트 가요 콜렉션"
"사랑앓이","FTISLAND (FT아일랜드)","2007년 베스트 가요 콜렉션"
"사랑에 미치면 (feat. 아웃캐스트 빅보이 & J.Y.Park ""The Asiansoul"")","임정희","2007년 베스트 가요 콜렉션"
"사랑은 맛있다 ♡","휘성(Realslow) CONNECT 아티스트","2007년 베스트 가요 콜렉션"
"사랑을 잃고 난 노래하네","에이트(8Eight)","2007년 베스트 가요 콜렉션"
"사랑의 숲에서 길을 잃다 (With 임창정)","제드(Jed)","2007년 베스트 가요 콜렉션"
"사랑의 인사","씨야(SeeYa)","2007년 베스트 가요 콜렉션"
"사랑이 늦어서 미안해","김조한","2007년 베스트 가요 콜렉션"
"사랑한다","이승철","2007년 베스트 가요 콜렉션"
"새 살","먼데이 키즈(Monday Kiz)","2007년 베스트 가요 콜렉션"
"소녀시대 (Girls' Generation)","소녀시대 (GIRLS' GENERATION)","2007년 베스트 가요 콜렉션"
"손수건","김동완","2007년 베스트 가요 콜렉션"
"수취인불명","프리스타일(Free Style)","2007년 베스트 가요 콜렉션"
"아리랑","SG워너비","2007년 베스트 가요 콜렉션"
"안녕","초신성","2007년 베스트 가요 콜렉션"
"오아시스 (feat. 이재훈)","브라운 아이드 걸스","2007년 베스트 가요 콜렉션"
"완소그대 (With 장안 종합 사회복지관 어린이들)","서영은","2007년 베스트 가요 콜렉션"
"왼쪽가슴","케이윌","2007년 베스트 가요 콜렉션"
"우리가 이별할 때 (duet with 백지영)","소울스타(SOULSTAR)","2007년 베스트 가요 콜렉션"
"유혹의 소나타 (Sampling Fur Elise, L.van Beethoven)","아이비(IVY)","2007년 베스트 가요 콜렉션"
"이럴거면","아이비(IVY)","2007년 베스트 가요 콜렉션"
"이별살이","린(LYn)","2007년 베스트 가요 콜렉션"
"잊었니...","윤미래","2007년 베스트 가요 콜렉션"
"잔소리","더 넛츠(The Nuts)","2007년 베스트 가요 콜렉션"
"좋은걸 어떡해","블랙펄(Black Pearl)","2007년 베스트 가요 콜렉션"
"착한 거짓말","이승기","2007년 베스트 가요 콜렉션"
"천둥","FTISLAND (FT아일랜드)","2007년 베스트 가요 콜렉션"
"첫사람","신혜성","2007년 베스트 가요 콜렉션"
"추억은 사랑을 닮아","박효신 CONNECT 아티스트","2007년 베스트 가요 콜렉션"
"톡톡톡 (Toc Toc Toc)","이효리","2007년 베스트 가요 콜렉션"
"통증","거미","2007년 베스트 가요 콜렉션"
"하늘위로 (B.Remix) (feat. 김지은)","렉시(Lexy)","2007년 베스트 가요 콜렉션"
"하루","포지션(Position)","2007년 베스트 가요 콜렉션"
"하루살이","BMK","2007년 베스트 가요 콜렉션"
"한번 더 이별","성시경","2007년 베스트 가요 콜렉션"
"[19금]				한번 더, OK? (One More Time, OK?)","천상지희 더 그레이스 (The Grace)","2007년 베스트 가요 콜렉션"
"한여름날의 꿈 (duet with 옥주현)","SG워너비","2007년 베스트 가요 콜렉션"
"혜성","윤하(Younha/ユンナ)","2007년 베스트 가요 콜렉션"
"흰눈","이루(Eru)","2007년 베스트 가요 콜렉션"
"사랑 안해","백지영","2006년 베스트 가요 콜렉션 "
"""O""-正.反.合. (""오""-정.반.합.)","동방신기 (TVXQ!)","2006년 베스트 가요 콜렉션 "
"Cutie Honey","Iconiq(아이코닉)","2006년 베스트 가요 콜렉션 "
"Dancing Out","SUPER JUNIOR (슈퍼주니어)","2006년 베스트 가요 콜렉션 "
"Get Ya'","이효리","2006년 베스트 가요 콜렉션 "
"Goodbye","이브(Eve)","2006년 베스트 가요 콜렉션 "
"GRACE","이수영","2006년 베스트 가요 콜렉션 "
"Hold The Line","조pd(ZoPD) , 브라운 아이드 걸스","2006년 베스트 가요 콜렉션 "
"I Go","럼블 피쉬(Rumble Fish)","2006년 베스트 가요 콜렉션 "
"I Love Rock & Roll","코요태","2006년 베스트 가요 콜렉션 "
"I'm Coming (feat. Tablo)","비","2006년 베스트 가요 콜렉션 "
"LOVE ALL","gavy nj project group [H7美人]","2006년 베스트 가요 콜렉션 "
"Love Me Love Me","이지혜","2006년 베스트 가요 콜렉션 "
"Maybe I Love You (feat. 빅톤)","걸프렌즈(Girl Friends)","2006년 베스트 가요 콜렉션 "
"Must Have Love (우리들의 겨울)","SG워너비 , 브라운 아이드 걸스","2006년 베스트 가요 콜렉션 "
"My Love (And)","버즈(Buzz)","2006년 베스트 가요 콜렉션 "
"My Style","업타운(UPT)","2006년 베스트 가요 콜렉션 "
"Never Mind","빅마마(Big Mama)","2006년 베스트 가요 콜렉션 "
"Once In A Lifetime","신화","2006년 베스트 가요 콜렉션 "
"Paris (Feat. Jisun of Loveholic)","에픽하이 (EPIK HIGH)","2006년 베스트 가요 콜렉션 "
"Perhaps Love (사랑인가요) (duet with J)","하울(HowL)","2006년 베스트 가요 콜렉션 "
"Scandal","강타 & 바네스(Kangta & Vanness)","2006년 베스트 가요 콜렉션 "
"The Day","브라운 아이드 걸스 , 씨야(SeeYa)","2006년 베스트 가요 콜렉션 "
"Timeless (feat. 시아준수)","장리인 (Zhang Li Yin)","2006년 베스트 가요 콜렉션 "
"Tomorrow","환희","2006년 베스트 가요 콜렉션 "
"U","SUPER JUNIOR (슈퍼주니어)","2006년 베스트 가요 콜렉션 "
"Untouchable (With SG 워너비, MTOM)","김종국","2006년 베스트 가요 콜렉션 "
"V.I.P","바다","2006년 베스트 가요 콜렉션 "
"With You (duet with 박효신)","리사(Lisa)","2006년 베스트 가요 콜렉션 "
"거리에서","성시경","2006년 베스트 가요 콜렉션 "
"곤드레 만드레","박현빈","2006년 베스트 가요 콜렉션 "
"구두","씨야(SeeYa)","2006년 베스트 가요 콜렉션 "
"그남자 그여자 (feat. 장혜진)","바이브(Vibe)","2006년 베스트 가요 콜렉션 "
"그녀가 울고 있네요","가비엔제이(Gavy N.J.)","2006년 베스트 가요 콜렉션 "
"그녀를 사랑해줘요","하동균","2006년 베스트 가요 콜렉션 "
"그래서...","타이푼","2006년 베스트 가요 콜렉션 "
"그리움을 외치다","테이(Tei)","2006년 베스트 가요 콜렉션 "
"까만안경","이루(Eru)","2006년 베스트 가요 콜렉션 "
"난 알아요 (feat. Teddy)","SE7EN","2006년 베스트 가요 콜렉션 "
"날 위한 이별","린(LYn)","2006년 베스트 가요 콜렉션 "
"남자답게","플라이 투 더 스카이(Fly To The Sky)","2006년 베스트 가요 콜렉션 "
"남자를 몰라","버즈(Buzz)","2006년 베스트 가요 콜렉션 "
"내사람: Partner For Life","SG워너비","2006년 베스트 가요 콜렉션 "
"너에게 쓰는 편지 Part. 2 (feat. LISA)","MC 몽","2006년 베스트 가요 콜렉션 "
"누나의 꿈","현영","2006년 베스트 가요 콜렉션 "
"눈물샘","별","2006년 베스트 가요 콜렉션 "
"눈사람","가비엔제이(Gavy N.J.)","2006년 베스트 가요 콜렉션 "
"느림보","SG워너비","2006년 베스트 가요 콜렉션 "
"다가와서","브라운 아이드 걸스","2006년 베스트 가요 콜렉션 "
"다소","메이비(MayBee)","2006년 베스트 가요 콜렉션 "
"두고두고","얀(Yarn)","2006년 베스트 가요 콜렉션 "
"들리나요","정재욱","2006년 베스트 가요 콜렉션 "
"떠나지마","이승철","2006년 베스트 가요 콜렉션 "
"라라라","SE7EN","2006년 베스트 가요 콜렉션 "
"마이동풍(馬耳東風)","배치기","2006년 베스트 가요 콜렉션 "
"마주치지 말자","장혜진","2006년 베스트 가요 콜렉션 "
"면도","브이원(V.One)","2006년 베스트 가요 콜렉션 "
"미친 사랑의 노래","씨야(SeeYa)","2006년 베스트 가요 콜렉션 "
"바람과 함께 사라지다 (With 바이브, MTOM)","SG워너비","2006년 베스트 가요 콜렉션 "
"봄 여름 가을... 겨울 (feat. 김태우 From God)","수호","2006년 베스트 가요 콜렉션 "
"불꽃 (feat. 개리)","장혜진","2006년 베스트 가요 콜렉션 "
"비행기","거북이","2006년 베스트 가요 콜렉션 "
"사랑, 참...","홍경민","2006년 베스트 가요 콜렉션 "
"사랑 먼지","버블 시스터즈(Bubble Sisters)","2006년 베스트 가요 콜렉션 "
"사랑아 가지마","임정희","2006년 베스트 가요 콜렉션 "
"사랑은...","더 네임(The Name)","2006년 베스트 가요 콜렉션 "
"사랑은 아프려고 하는거죠","엠씨더맥스(M.C THE MAX)","2006년 베스트 가요 콜렉션 "
"사랑을 찾아서 (2007 New ver.)","엠씨더맥스(M.C THE MAX)","2006년 베스트 가요 콜렉션 "
"사랑이 오지 않아요","전진","2006년 베스트 가요 콜렉션 "
"사랑하기 때문에 (feat. SG 워너비)","씨야(SeeYa)","2006년 베스트 가요 콜렉션 "
"사랑한다는 말","김종국","2006년 베스트 가요 콜렉션 "
"사랑해요 우리 (With Gummy)","플라이 투 더 스카이(Fly To The Sky)","2006년 베스트 가요 콜렉션 "
"사랑했어요 (feat. 데니 안)","SG워너비","2006년 베스트 가요 콜렉션 "
"소리쳐","이승철","2006년 베스트 가요 콜렉션 "
"시한부","V.O.S.","2006년 베스트 가요 콜렉션 "
"新 희망사항","디 에이디(The A.D)","2006년 베스트 가요 콜렉션 "
"아무리 생각해도 난 너를","스윗소로우(SWEET SORROW)","2006년 베스트 가요 콜렉션 "
"아이스크림","MC 몽","2006년 베스트 가요 콜렉션 "
"알 수 없는 인생","이문세","2006년 베스트 가요 콜렉션 "
"여인의 향기","씨야(SeeYa)","2006년 베스트 가요 콜렉션 "
"연예인","싸이 (PSY)","2006년 베스트 가요 콜렉션 "
"열 (feat. Tablo)","이정","2006년 베스트 가요 콜렉션 "
"오늘 하루","쿨(COOL)","2006년 베스트 가요 콜렉션 "
"웃는거야","서영은","2006년 베스트 가요 콜렉션 "
"유추프라카치아","토니안(Tony An)","2006년 베스트 가요 콜렉션 "
"이따, 이따요","장윤정","2006년 베스트 가요 콜렉션 "
"전부 너였다","노을","2006년 베스트 가요 콜렉션 "
"제발 (2006년 발매 / Special Album ""남자가 여자를 사랑할 때 Vol.1"" 수록)","이승기","2006년 베스트 가요 콜렉션 "
"좋아 좋아","서영은","2006년 베스트 가요 콜렉션 "
"죽을만큼...","오종혁(OJ)","2006년 베스트 가요 콜렉션 "
"철수야 사랑해","이정현","2006년 베스트 가요 콜렉션 "
"콩깍지","장윤정","2006년 베스트 가요 콜렉션 "
"큐피트","별","2006년 베스트 가요 콜렉션 "
"태양의 눈물","KCM","2006년 베스트 가요 콜렉션 "
"편지","김종국","2006년 베스트 가요 콜렉션 "
"폭풍속으로 (One Way) (feat. 에스더)","장우혁","2006년 베스트 가요 콜렉션 "
"피(避)","플라이 투 더 스카이(Fly To The Sky)","2006년 베스트 가요 콜렉션 "
"하고 싶은 말","김태우","2006년 베스트 가요 콜렉션 "
"하기 힘든 말","이승기","2006년 베스트 가요 콜렉션 "
"헤어져야 사랑을 알죠","리사(Lisa)","2006년 베스트 가요 콜렉션 "
"별, 바람, 햇살 그리고 사랑","김종국","2005년 베스트 가요 콜렉션"
"1,2,3,4. (원,투,쓰리,포.)","코요태","2005년 베스트 가요 콜렉션"
"2 Am (2:00 Am)","전혜빈","2005년 베스트 가요 콜렉션"
"2♡","지오디(god)","2005년 베스트 가요 콜렉션"
"Bye Bye Bye","먼데이 키즈(Monday Kiz)","2005년 베스트 가요 콜렉션"
"Finkl","핑클(Fin.K.L)","2005년 베스트 가요 콜렉션"
"Fly (Feat. Amin. J of Soulciety)","에픽하이 (EPIK HIGH)","2005년 베스트 가요 콜렉션"
"Girl Friend","M(이민우)","2005년 베스트 가요 콜렉션"
"Girls On Top","보아 (BoA)","2005년 베스트 가요 콜렉션"
"Good-Bye Luv..","휘성(Realslow) CONNECT 아티스트","2005년 베스트 가요 콜렉션"
"Happiness","가비엔제이(Gavy N.J.)","2005년 베스트 가요 콜렉션"
"Hi Ya Ya 여름날","동방신기 (TVXQ!)","2005년 베스트 가요 콜렉션"
"I Do","비","2005년 베스트 가요 콜렉션"
"I Love U, Oh Thank U (feat. 김태우)","MC 몽","2005년 베스트 가요 콜렉션"
"Memory","김범수","2005년 베스트 가요 콜렉션"
"Moto","보아 (BoA)","2005년 베스트 가요 콜렉션"
"Mr. Flower","조성모","2005년 베스트 가요 콜렉션"
"Rising Sun (순수)","동방신기 (TVXQ!)","2005년 베스트 가요 콜렉션"
"She Is","클래지콰이(Clazziquai) CONNECT 아티스트","2005년 베스트 가요 콜렉션"
"Shocking Pink Rose","W(Where The Story Ends)","2005년 베스트 가요 콜렉션"
"Smile Again","KCM","2005년 베스트 가요 콜렉션"
"Stay In Me","서지영","2005년 베스트 가요 콜렉션"
"Super Star","쥬얼리(Jewelry)","2005년 베스트 가요 콜렉션"
"Tonight","홍경민","2005년 베스트 가요 콜렉션"
"Too Good","천상지희 더 그레이스 (The Grace)","2005년 베스트 가요 콜렉션"
"Tri-Angle (Extended ver.) (feat. BoA & The Trax)","동방신기 (TVXQ!)","2005년 베스트 가요 콜렉션"
"Y (Please Tell Me Why)","프리스타일(Free Style)","2005년 베스트 가요 콜렉션"
"가슴 아파도","환희","2005년 베스트 가요 콜렉션"
"가시","버즈(Buzz)","2005년 베스트 가요 콜렉션"
"같은 생각","신혜성","2005년 베스트 가요 콜렉션"
"거짓말","버즈(Buzz)","2005년 베스트 가요 콜렉션"
"겁쟁이","버즈(Buzz)","2005년 베스트 가요 콜렉션"
"겨울일기","장나라","2005년 베스트 가요 콜렉션"
"광(狂)","SG워너비","2005년 베스트 가요 콜렉션"
"귀로","나얼(Na-Ul)","2005년 베스트 가요 콜렉션"
"그녀에게","유엔(UN)","2005년 베스트 가요 콜렉션"
"그래도 살아가겠지","가비엔제이(Gavy N.J.)","2005년 베스트 가요 콜렉션"
"그리고 그후","프리스타일(Free Style)","2005년 베스트 가요 콜렉션"
"그리움을 사랑한 가시나무","테이(Tei)","2005년 베스트 가요 콜렉션"
"기대","나윤권","2005년 베스트 가요 콜렉션"
"꽃들은 지고","이수영","2005년 베스트 가요 콜렉션"
"꽃피는 봄이오면","BMK","2005년 베스트 가요 콜렉션"
"나비 무덤","테이크(TAKE)","2005년 베스트 가요 콜렉션"
"나에게로 떠나는 여행","버즈(Buzz)","2005년 베스트 가요 콜렉션"
"날 그만 잊어요","거미","2005년 베스트 가요 콜렉션"
"내 눈물이 하는 말","견우","2005년 베스트 가요 콜렉션"
"내 마음의 보석상자","SG워너비","2005년 베스트 가요 콜렉션"
"내가 웃는게 아니야 (With Ali)","리쌍(Leessang)","2005년 베스트 가요 콜렉션"
"너에게 간다","윤종신","2005년 베스트 가요 콜렉션"
"너에게 전하는 아홉가지 바램","KCM","2005년 베스트 가요 콜렉션"
"눈물 씻고 화장하고","렉시(Lexy)","2005년 베스트 가요 콜렉션"
"눈물이 나요","조성모","2005년 베스트 가요 콜렉션"
"눈물잔","박상민","2005년 베스트 가요 콜렉션"
"눈의 꽃","박효신 CONNECT 아티스트","2005년 베스트 가요 콜렉션"
"닮았잖아","이소은","2005년 베스트 가요 콜렉션"
"둘이서","채연","2005년 베스트 가요 콜렉션"
"떠나가요, 떠나지마요","더 크로스(The Cross)","2005년 베스트 가요 콜렉션"
"무조건 (Dance ver.)","박상철","2005년 베스트 가요 콜렉션"
"바람이 분다","이소라","2005년 베스트 가요 콜렉션"
"반대가 끌리는 이유","지오디(god)","2005년 베스트 가요 콜렉션"
"보통날","지오디(god)","2005년 베스트 가요 콜렉션"
"보통여자","린(LYn)","2005년 베스트 가요 콜렉션"
"빙고","코요태","2005년 베스트 가요 콜렉션"
"빙고","거북이","2005년 베스트 가요 콜렉션"
"사랑스러워","김종국","2005년 베스트 가요 콜렉션"
"사랑은... 하나다","테이(Tei)","2005년 베스트 가요 콜렉션"
"사랑인걸","모세(Mose)","2005년 베스트 가요 콜렉션"
"사랑해요","이소은","2005년 베스트 가요 콜렉션"
"사랑했나봐","윤도현","2005년 베스트 가요 콜렉션"
"살다가","SG워너비","2005년 베스트 가요 콜렉션"
"서울의 달","김건모","2005년 베스트 가요 콜렉션"
"세글자","엠투엠(M To M)","2005년 베스트 가요 콜렉션"
"아니","거미","2005년 베스트 가요 콜렉션"
"안부 (duet with 나윤권)","별","2005년 베스트 가요 콜렉션"
"약속","지오디(god)","2005년 베스트 가요 콜렉션"
"여기까진가요","플라워","2005년 베스트 가요 콜렉션"
"으라차차","럼블 피쉬(Rumble Fish)","2005년 베스트 가요 콜렉션"
"은영이에게","KCM","2005년 베스트 가요 콜렉션"
"응급실 (Original ver.)","이지(Izi)","2005년 베스트 가요 콜렉션"
"이별이라는 이름","엠씨더맥스(M.C THE MAX)","2005년 베스트 가요 콜렉션"
"이 여름 Summer","쿨(COOL)","2005년 베스트 가요 콜렉션"
"일년이면","휘성(Realslow) CONNECT 아티스트","2005년 베스트 가요 콜렉션"
"잘 부탁드립니다","익스(Ex)","2005년 베스트 가요 콜렉션"
"잘 지내나요","성시경","2005년 베스트 가요 콜렉션"
"전화번호","지누션(Jinusean)","2005년 베스트 가요 콜렉션"
"제자리 걸음","김종국","2005년 베스트 가요 콜렉션"
"죄와 벌","SG워너비","2005년 베스트 가요 콜렉션"
"중독","서영은","2005년 베스트 가요 콜렉션"
"지지 않는 태양","장우혁","2005년 베스트 가요 콜렉션"
"짠짜라","장윤정","2005년 베스트 가요 콜렉션"
"천하무적","MC 몽","2005년 베스트 가요 콜렉션"
"체념 後(후)","빅마마(Big Mama)","2005년 베스트 가요 콜렉션"
"추억속의 재회","엠씨더맥스(M.C THE MAX)","2005년 베스트 가요 콜렉션"
"한숨만","이정","2005년 베스트 가요 콜렉션"
"행복하지 말아요","엠씨더맥스(M.C THE MAX)","2005년 베스트 가요 콜렉션"
"헤어지자고","윤건","2005년 베스트 가요 콜렉션"
"현명한 이별","슈가(Sugar)","2005년 베스트 가요 콜렉션"
"홈런 (feat. 옥주현)","MC 몽","2005년 베스트 가요 콜렉션"
"환희","싸이 (PSY)","2005년 베스트 가요 콜렉션"
"힙합 뮤직 (feat. 임정희)","주석","2005년 베스트 가요 콜렉션"
"내 여자라니까","이승기","2004년 베스트 가요 콜렉션 "
"180˚","MC 몽","2004년 베스트 가요 콜렉션 "
"Angel Song","데이라이트(Daylight)","2004년 베스트 가요 콜렉션 "
"Brand New","신화","2004년 베스트 가요 콜렉션 "
"El Disco Amor","불독맨션(Bulldogmansion)","2004년 베스트 가요 콜렉션 "
"Feeling","김종국","2004년 베스트 가요 콜렉션 "
"For My Love","M.Street(엠스트리트)","2004년 베스트 가요 콜렉션 "
"Honeymoon","유엔(UN)","2004년 베스트 가요 콜렉션 "
"Hot 뜨거","원타임(1TYM)","2004년 베스트 가요 콜렉션 "
"Hug","동방신기 (TVXQ!)","2004년 베스트 가요 콜렉션 "
"It's Raining","비","2004년 베스트 가요 콜렉션 "
"Let Me Dance (feat. Teddy)","렉시(Lexy)","2004년 베스트 가요 콜렉션 "
"Liquor Shots (술병에 숟가락)","드렁큰 타이거(Drunken Tiger)","2004년 베스트 가요 콜렉션 "
"Monologue","버즈(Buzz)","2004년 베스트 가요 콜렉션 "
"My Little Princess (있잖아요...)","동방신기 (TVXQ!)","2004년 베스트 가요 콜렉션 "
"My Name","보아 (BoA)","2004년 베스트 가요 콜렉션 "
"Ring My Bell (feat. 나얼 Of Brown Eyed Soul)","다이나믹듀오","2004년 베스트 가요 콜렉션 "
"Sky","러브홀릭(Loveholic)","2004년 베스트 가요 콜렉션 "
"Spark","보아 (BoA)","2004년 베스트 가요 콜렉션 "
"Sweety","클래지콰이(Clazziquai) CONNECT 아티스트","2004년 베스트 가요 콜렉션 "
"The Way U Are","동방신기 (TVXQ!)","2004년 베스트 가요 콜렉션 "
"Think About' Chu","아소토 유니온(Asoto Union)","2004년 베스트 가요 콜렉션 "
"Timeless","SG워너비","2004년 베스트 가요 콜렉션 "
"Together","코요태","2004년 베스트 가요 콜렉션 "
"Windy","유진","2004년 베스트 가요 콜렉션 "
"가슴에 지는 태양","김범수","2004년 베스트 가요 콜렉션 "
"갈색머리","윤건","2004년 베스트 가요 콜렉션 "
"걸음이 느린 아이","고유진(플라워)","2004년 베스트 가요 콜렉션 "
"고래의 꿈 (Falling In Love Again) (feat. 김영근 - Bobby'S Father)","바비 킴(Bobby Kim)","2004년 베스트 가요 콜렉션 "
"광화문연가","이수영","2004년 베스트 가요 콜렉션 "
"그 사람의 결혼식","서영은","2004년 베스트 가요 콜렉션 "
"그게 정말이니?","장나라","2004년 베스트 가요 콜렉션 "
